,product_name,brand_name,rating,rating_count,marked_price,discounted_price,sizes,product_link,img_link,product_tag,brand_tag,discount_amount,discount_percent,tags,seller_address,meta_description,meta_keyword
0,Slim Fit Casual Shirt,Greenfibre,0.0,0,1699,1699,"38,39,40,42,44",shirts/greenfibre/greenfibre-men-yellow-slim-fit-checked-casual-shirt/18427366/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18427366/2022/5/25/595ca4f7-e02e-4ea4-95f8-a860ce76d38f1653470011403GreenfibreMensMellowYellow100CottonCheckedCasualShirt1.jpg",shirts,greenfibre,0,0,"clothing,men-clothing,shirts,greenfibre-shirts",Gujarat - 380006,Buy Greenfibre Men Yellow Slim Fit Checked Casual Shirt - Shirts for Men from Greenfibre at Rs. 1699. Style ID: 18427366,"Greenfibre Men Yellow Slim Fit Checked Casual Shirt,  Greenfibre, Shirts, Topwear, Apparel, Apparel for Men, Buy Greenfibre Men Yellow Slim Fit Checked Casual Shirt Online in India, Buy Shirts at best price"
1,Men Printed T-shirt,FREESOUL,0.0,0,799,799,"S,M,L,XL,XXL",tshirts/freesoul/freesoul-men-white-printed-cotton-t-shirt/18069688/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18069688/2022/4/28/e23758c3-40ca-45eb-87da-b9154552be1e1651129849491FREESOULMenWhitePrintedT-shirt1.jpg",tshirts,freesoul,0,0,"clothing,men-clothing,tshirts,freesoul-tshirts",Karnataka - 560058,Buy FREESOUL Men White Printed Cotton T Shirt - Tshirts for Men from FREESOUL at Rs. 799. Style ID: 18069688,"FREESOUL Men White Printed Cotton T Shirt,  FREESOUL, Tshirts, Topwear, Apparel, Apparel for Men, Buy FREESOUL Men White Printed Cotton T Shirt Online in India, Buy Tshirts at best price"
2,Leather Two Fold Wallet,Da Milano,0.0,0,4499,4499,Onesize,wallets/da-milano/da-milano-women-blue-textured-leather-two-fold-wallet/18013592/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18013592/2022/4/24/18e56b73-5975-4ba2-b93f-b84bcad7ce491650779365781DaMilanoWomenBlueWallets1.jpg",wallets,da-milano,0,0,"accessories,women-accessories,wallets,da-milano-wallets",Delhi - 110037,Buy Da Milano Women Blue Textured Leather Two Fold Wallet - Wallets for Women from Da Milano at Rs. 3149. Style ID: 18013592,"Da Milano Women Blue Textured Leather Two Fold Wallet,  Da Milano, Wallets, Wallets, Accessories, Accessories for Women, Buy Da Milano Women Blue Textured Leather Two Fold Wallet Online in India, Buy Wallets at best price"
3,Pure Georgette Bandhani Saree,Mitera,3.6,5,6727,1681,Onesize,sarees/mitera/mitera-women-sea-green--white-embroidered-pure-georgette-bandhani-saree/17141476/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17141476/2022/3/9/b2980944-a6f3-4d53-b225-d16ea21806fc1646803380861-Mitera-Women-Sea-Green--White-Embroidered-Pure-Georgette-Ban-1.jpg",sarees,mitera,5046,75,"clothing,women-clothing,sarees,mitera-sarees",Gujarat - 395010,Buy Mitera Women Sea Green & White Embroidered Pure Georgette Bandhani Saree - Sarees for Women from Mitera at Rs. 1547. Style ID: 17141476,"Mitera Women Sea Green & White Embroidered Pure Georgette Bandhani Saree,  Mitera, Sarees, Saree, Apparel, Apparel for Women, Buy Mitera Women Sea Green & White Embroidered Pure Georgette Bandhani Saree Online in India, Buy Sarees at best price"
4,Men Geometric Printed Kurta,Indo Era,0.0,0,2599,1429,"S,M,L,XL,XXL",kurtas/indo-era/indo-era-men-lavender-geometric-printed-kurta/17502668/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17502668/2022/3/24/76c442c7-42e8-41e2-a0d7-7107e78010751648123655479-Indo-Era-Lavender-Geometric-Cotton-Straight-Straight-Kurtas--1.jpg",kurtas,indo-era,1170,45,"clothing,men-clothing,kurtas,indo-era-kurtas",Gujarat - 395010,Buy Indo Era Men Lavender Geometric Printed Kurta - Kurtas for Men from Indo Era at Rs. 1429. Style ID: 17502668,"Indo Era Men Lavender Geometric Printed Kurta,  Indo Era, Kurtas, Topwear, Apparel, Apparel for Men, Buy Indo Era Men Lavender Geometric Printed Kurta Online in India, Buy Kurtas at best price"
5,Men Accessory Gift Set,WildHorn,4.5,80,2999,1049,Onesize,accessory-gift-set/wildhorn/wildhorn-men-accessory-gift-set/1410357/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/1410357/2016/6/25/11466848445741-WildHorn-Men-Accessory-Gift-Set-5111466848445637-1.jpg",accessory-gift-set,wildhorn,1950,65,"accessories,men-accessories,accessory-gift-set,wildhorn-accessory-gift-set",West bengal - 700039,Buy WildHorn Men Accessory Gift Set - Accessory Gift Set for Men from WildHorn at Rs. 999. Style ID: 1410357,"WildHorn Men Accessory Gift Set, WildHorn, Accessory Gift Set, Accessories, Accessories, Accessories for Men, Buy WildHorn Men Accessory Gift Set Online in India, Buy Accessory Gift Set at best price"
6,Self-Design Thermal Set,Kanvin,4.6,42,1598,1278,"S,M,L,XL,XXL",thermal-set/kanvin/kanvin-off-white-self-design-thermal-set-new2150ow2180/2223155/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2223155/2017/11/3/11509711403449-Kanvin-Women-Thermal-Set-7901509711403288-1.jpg",thermal-set,kanvin,320,20,"clothing,women-clothing,thermal-set,kanvin-thermal-set",Punjab - 141003,Buy Kanvin Off White Self Design Thermal Set NEW2150OW2180 - Thermal Set for Women from Kanvin at Rs. 1182. Style ID: 2223155,"Kanvin Off White Self Design Thermal Set NEW2150OW2180,  Kanvin, Thermal Set, Innerwear, Apparel, Apparel for Women, Buy Kanvin Off White Self Design Thermal Set NEW2150OW2180 Online in India, Buy Thermal Set at best price"
7,Men Slim Fit T-shirt,Jack & Jones,3.7,7,1299,649,"S,M,L,XL,XXL",tshirts/jack--jones/jack--jones-men-blue-slim-fit-t-shirt/15430520/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15430520/2021/10/6/28b491b5-231e-4502-9bb6-e26ff2bbcadf1633510059641-Jack--Jones-Men-Blue-Slim-Fit-T-shirt-4881633510058749-1.jpg",tshirts,jack--jones,650,50,"clothing,men-clothing,tshirts,jack-and-jones-tshirts",Maharashtra - 400059,Buy Jack & Jones Men Blue Slim Fit T Shirt - Tshirts for Men from Jack & Jones at Rs. 584. Style ID: 15430520,"Jack & Jones Men Blue Slim Fit T Shirt,  Jack & Jones, Tshirts, Topwear, Apparel, Apparel for Men, Buy Jack & Jones Men Blue Slim Fit T Shirt Online in India, Buy Tshirts at best price"
8,Block Print Pure Georgette Saree,MS RETAIL,0.0,0,1015,497,Onesize,sarees/ms-retail/ms-retail-green--white-pure-georgette-block-print-saree/18467984/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18467984/2022/5/27/0ec62e2a-cc5d-468e-8ab9-78860c223a9b1653640910916MSRETAILWomenGreenSarees1.jpg",sarees,ms-retail,518,51,"clothing,women-clothing,sarees,ms-retail-sarees",GUJARAT - 395010,Buy MS RETAIL Green & White Pure Georgette Block Print Saree - Sarees for Women from MS RETAIL at Rs. 558. Style ID: 18467984,"MS RETAIL Green & White Pure Georgette Block Print Saree,  MS RETAIL, Sarees, Saree, Apparel, Apparel for Women, Buy MS RETAIL Green & White Pure Georgette Block Print Saree Online in India, Buy Sarees at best price"
9,Outdoor Rapid-Dry Jacket,HRX by Hrithik Roshan,4.4,186,2799,1679,"XS,S,M,L,XL",jackets/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-navy-colourblocked-rapid-dry-antimicrobial-outdoor-jacket/11953112/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11953112/2020/9/29/6b5ee3b1-95cb-4e93-8560-191194473f401601370645117-HRX-by-Hrithik-Roshan-Women-Jackets-1441601370642692-1.jpg",jackets,hrx-by-hrithik-roshan,1120,40,"clothing,women-clothing,jackets,hrx-by-hrithik-roshan-jackets",Delhi - 110001,Buy HRX By Hrithik Roshan Women Navy Colourblocked Rapid Dry Antimicrobial Outdoor Jacket - Jackets for Women from HRX By Hrithik Roshan at Rs. 1679. Style ID: 11953112,"HRX By Hrithik Roshan Women Navy Colourblocked Rapid Dry Antimicrobial Outdoor Jacket,  HRX By Hrithik Roshan, Jackets, Topwear, Apparel, Apparel for Women, Buy HRX By Hrithik Roshan Women Navy Colourblocked Rapid Dry Antimicrobial Outdoor Jacket Online in India, Buy Jackets at best price"
